Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
2024,1,Buenos Aires,5038657,5900.0,5044557
2024,1,Capital Federal,1502661,2050.0,1504711
2024,1,Catamarca,74932,1.0,74933
2024,1,Chaco,155538,5.0,155543
2024,1,Chubut,169819,857.0,170676
2024,1,Córdoba,1082136,63.0,1082199
2024,1,Corrientes,157891,3.0,157894
2024,1,Entre Ríos,296532,20.0,296552
2024,1,Formosa,62718,0.0,62718
2024,1,Jujuy,118053,0.0,118053
2024,1,La Pampa,122033,162.0,122195
2024,1,La Rioja,87778,4.0,87782
2024,1,Mendoza,301867,730.0,302597
2024,1,Misiones,202556,0.0,202556
2024,1,Neuquén,163807,439.0,164246
2024,1,Río Negro,170504,515.0,171019
2024,1,Salta,202856,5.0,202861
2024,1,San Juan,106419,247.0,106666
2024,1,San Luis,155925,165.0,156090
2024,1,Santa Cruz,80021,187.0,80208
2024,1,Santa Fe,918482,106.0,918588
2024,1,Santiago Del Estero,124360,2.0,124362
2024,1,Tierra Del Fuego,61250,305.0,61555
2024,1,Tucumán,264568,27.0,264595
2023,1,Buenos Aires,4814729,6199.0,4820928
2023,1,Capital Federal,1546584,2145.0,1548729
2023,1,Catamarca,71491,1.0,71492
2023,1,Chaco,142437,5.0,142442
2023,1,Chubut,169149,904.0,170053
2023,1,Córdoba,1049904,68.0,1049972
2023,1,Corrientes,157016,4.0,157020
2023,1,Entre Ríos,274856,22.0,274878
2023,1,Formosa,60985,0.0,60985
2023,1,Jujuy,117981,0.0,117981
2023,1,La Pampa,116333,171.0,116504
2023,1,La Rioja,86401,4.0,86405
2023,1,Mendoza,292242,777.0,293019
2023,1,Misiones,190685,0.0,190685
2023,1,Neuquén,159944,468.0,160412
2023,1,Río Negro,163783,548.0,164331
2023,1,Salta,205421,5.0,205426
2023,1,San Juan,101486,281.0,101767
2023,1,San Luis,135281,182.0,135463
2023,1,Santa Cruz,50163,198.0,50361
2023,1,Santa Fe,886164,110.0,886274
2023,1,Santiago Del Estero,118553,2.0,118555
2023,1,Tierra Del Fuego,56801,312.0,57113
2023,1,Tucumán,261070,30.0,261100
2022,1,Buenos Aires,4549131,6293.0,4555424
2022,1,Capital Federal,1415378,2163.0,1417541
2022,1,Catamarca,62377,1.0,62378
2022,1,Chaco,144114,5.0,144119
2022,1,Chubut,170701,927.0,171628
2022,1,Córdoba,1003729,74.0,1003803
2022,1,Corrientes,142574,4.0,142578
2022,1,Entre Ríos,267904,22.0,267926
2022,1,Formosa,54548,0.0,54548
2022,1,Jujuy,116509,0.0,116509
2022,1,La Pampa,109560,172.0,109732
2022,1,La Rioja,84299,4.0,84303
2022,1,Mendoza,274399,786.0,275185
2022,1,Misiones,171508,0.0,171508
2022,1,Neuquén,149208,471.0,149679
2022,1,Río Negro,156821,553.0,157374
2022,1,Salta,197510,5.0,197515
2022,1,San Juan,87888,290.0,88178
2022,1,San Luis,119659,185.0,119844
2022,1,Santa Cruz,48898,204.0,49102
2022,1,Santa Fe,870364,115.0,870479
2022,1,Santiago Del Estero,116459,2.0,116461
2022,1,Tierra Del Fuego,52298,313.0,52611
2022,1,Tucumán,245554,30.0,245584
2021,1,Buenos Aires,4054936,5066.0,4060002
2021,1,Capital Federal,1378283,1390.0,1379673
2021,1,Catamarca,51967,1.0,51968
2021,1,Chaco,139767,3.0,139770
2021,1,Chubut,131515,825.0,132340
2021,1,Córdoba,910826,55.0,910881
2021,1,Corrientes,126622,3.0,126625
2021,1,Entre Ríos,251950,13.0,251963
2021,1,Formosa,50686,0.0,50686
2021,1,Jujuy,110456,0.0,110456
2021,1,La Pampa,96989,116.0,97105
2021,1,La Rioja,52625,3.0,52628
2021,1,Mendoza,218308,615.0,218923
2021,1,Misiones,149387,0.0,149387
2021,1,Neuquén,132862,373.0,133235
2021,1,Río Negro,140667,501.0,141168
2021,1,Salta,187572,2.0,187574
2021,1,San Juan,78011,256.0,78267
2021,1,San Luis,119006,148.0,119154
2021,1,Santa Cruz,45868,197.0,46065
2021,1,Santa Fe,825990,137.0,826127
2021,1,Santiago Del Estero,111640,1.0,111641
2021,1,Tierra Del Fuego,40133,289.0,40422
2021,1,Tucumán,231890,22.0,231912
2020,1,Buenos Aires,3702985,5066.0,3708051
2020,1,Capital Federal,1352104,1390.0,1353494
2020,1,Catamarca,39634,1.0,39635
2020,1,Chaco,120274,3.0,120277
2020,1,Chubut,95938,800.0,96738
2020,1,Córdoba,811044,55.0,811099
2020,1,Corrientes,113967,3.0,113970
2020,1,Entre Ríos,231833,13.0,231846
2020,1,Formosa,46434,0.0,46434
2020,1,Jujuy,91665,0.0,91665
2020,1,La Pampa,89110,116.0,89226
2020,1,La Rioja,48337,3.0,48340
2020,1,Mendoza,182837,615.0,183452
2020,1,Misiones,133552,0.0,133552
2020,1,Neuquén,121354,373.0,121727
2020,1,Río Negro,125699,501.0,126200
2020,1,Salta,170379,2.0,170381
2020,1,San Juan,63975,256.0,64231
2020,1,San Luis,110404,148.0,110552
2020,1,Santa Cruz,38625,197.0,38822
2020,1,Santa Fe,770981,137.0,771118
2020,1,Santiago Del Estero,102754,1.0,102755
2020,1,Tierra Del Fuego,38505,289.0,38794
2020,1,Tucumán,200045,22.0,200067
2019,1,Buenos Aires,3736563,10104.0,3746667
2019,1,Capital Federal,1396157,3443.0,1399600
2019,1,Catamarca,33613,9.0,33622
2019,1,Chaco,103664,13.0,103677
2019,1,Chubut,78260,1518.0,79778
2019,1,Córdoba,744010,105.0,744115
2019,1,Corrientes,102477,10.0,102487
2019,1,Entre Ríos,232403,44.0,232447
2019,1,Formosa,45211,0.0,45211
2019,1,Jujuy,90146,1.0,90147
2019,1,La Pampa,88892,268.0,89160
2019,1,La Rioja,51638,18.0,51656
2019,1,Mendoza,204976,1322.0,206298
2019,1,Misiones,122720,0.0,122720
2019,1,Neuquén,112321,2056.0,114377
2019,1,Río Negro,120173,915.0,121088
2019,1,Salta,136019,1.0,136020
2019,1,San Juan,61881,564.0,62445
2019,1,San Luis,96044,291.0,96335
2019,1,Santa Cruz,24580,325.0,24905
2019,1,Santa Fe,736851,227.0,737078
2019,1,Santiago Del Estero,89851,2.0,89853
2019,1,Tierra Del Fuego,45903,544.0,46447
2019,1,Tucumán,171970,32.0,172002
2018,1,Buenos Aires,3464882,10564.0,3475446
2018,1,Capital Federal,1359882,6688.0,1366570
2018,1,Catamarca,33934,11.0,33945
2018,1,Chaco,96925,12.0,96937
2018,1,Chubut,95532,2427.0,97959
2018,1,Córdoba,713825,101.0,713926
2018,1,Corrientes,94406,11.0,94417
2018,1,Entre Ríos,197346,48.0,197394
2018,1,Formosa,32328,0.0,32328
2018,1,Jujuy,44405,1.0,44406
2018,1,La Pampa,82668,396.0,83064
2018,1,La Rioja,52228,17.0,52245
2018,1,Mendoza,199463,1484.0,200947
2018,1,Misiones,103580,0.0,103580
2018,1,Neuquén,115897,2006.0,117903
2018,1,Río Negro,110057,1062.0,111119
2018,1,Salta,133182,1.0,133183
2018,1,San Juan,62610,658.0,63268
2018,1,San Luis,21096,300.0,21396
2018,1,Santa Cruz,33970,435.0,34405
2018,1,Santa Fe,679717,309.0,680026
2018,1,Santiago Del Estero,82916,2.0,82918
2018,1,Tierra Del Fuego,31106,508.0,31614
2018,1,Tucumán,168026,31.0,168057
2017,1,Buenos Aires,3178174,11202.0,3189376
2017,1,Capital Federal,1391030,8016.0,1399046
2017,1,Catamarca,26304,13.0,26317
2017,1,Chaco,89036,14.0,89050
2017,1,Chubut,62166,1730.0,63896
2017,1,Córdoba,641066,133.0,641199
2017,1,Corrientes,88596,12.0,88608
2017,1,Entre Ríos,180296,57.0,180353
2017,1,Formosa,29705,0.0,29705
2017,1,Jujuy,43202,1.0,43203
2017,1,La Pampa,71458,455.0,71913
2017,1,La Rioja,16207,18.0,16225
2017,1,Mendoza,169282,1451.0,170733
2017,1,Misiones,97619,0.0,97619
2017,1,Neuquén,113227,2112.0,115339
2017,1,Río Negro,100288,1000.0,101288
2017,1,Salta,107632,1.0,107633
2017,1,San Juan,51253,620.0,51873
2017,1,San Luis,12992,315.0,13307
2017,1,Santa Cruz,26116,370.0,26486
2017,1,Santa Fe,562520,362.0,562882
2017,1,Santiago Del Estero,34473,2.0,34475
2017,1,Tierra Del Fuego,31938,619.0,32557
2017,1,Tucumán,152734,37.0,152771
2016,1,Buenos Aires,2929903,12612.0,2942515
2016,1,Capital Federal,1328079,9817.0,1337896
2016,1,Catamarca,26376,13.0,26389
2016,1,Chaco,86635,16.0,86651
2016,1,Chubut,62060,1740.0,63800
2016,1,Córdoba,609692,234.0,609926
2016,1,Corrientes,85510,26.0,85536
2016,1,Entre Ríos,174634,179.0,174813
2016,1,Formosa,28313,1.0,28314
2016,1,Jujuy,40287,2.0,40289
2016,1,La Pampa,65442,487.0,65929
2016,1,La Rioja,16673,18.0,16691
2016,1,Mendoza,169257,1553.0,170810
2016,1,Misiones,92951,7.0,92958
2016,1,Neuquén,101969,2292.0,104261
2016,1,Río Negro,98745,1077.0,99822
2016,1,Salta,102423,3.0,102426
2016,1,San Juan,51373,621.0,51994
2016,1,San Luis,12915,317.0,13232
2016,1,Santa Cruz,25931,356.0,26287
2016,1,Santa Fe,551378,618.0,551996
2016,1,Santiago Del Estero,37695,3.0,37698
2016,1,Tierra Del Fuego,29867,619.0,30486
2016,1,Tucumán,146596,41.0,146637
2015,1,Buenos Aires,2847076,14766.0,2861842
2015,1,Capital Federal,1321139,11582.0,1332721
2015,1,Catamarca,25312,20.0,25332
2015,1,Chaco,81329,31.0,81360
2015,1,Chubut,63327,1946.0,65273
2015,1,Córdoba,596663,294.0,596957
2015,1,Corrientes,81488,43.0,81531
2015,1,Entre Ríos,165839,231.0,166070
2015,1,Formosa,26657,43.0,26700
2015,1,Jujuy,36608,3.0,36611
2015,1,La Pampa,62155,542.0,62697
2015,1,La Rioja,16310,23.0,16333
2015,1,Mendoza,168355,1805.0,170160
2015,1,Misiones,85139,7.0,85146
2015,1,Neuquén,93373,2369.0,95742
2015,1,Río Negro,96145,1188.0,97333
2015,1,Salta,96793,18.0,96811
2015,1,San Juan,51117,702.0,51819
2015,1,San Luis,12878,354.0,13232
2015,1,Santa Cruz,26217,424.0,26641
2015,1,Santa Fe,535640,797.0,536437
2015,1,Santiago Del Estero,39244,8.0,39252
2015,1,Tierra Del Fuego,32726,730.0,33456
2015,1,Tucumán,138184,92.0,138276
2014,1,Buenos Aires,2725732,14144.0,2739876
2014,1,Capital Federal,1289204,10714.0,1299918
2014,1,Catamarca,24209,23.0,24232
2014,1,Chaco,62520,36.0,62556
2014,1,Chubut,68205,2016.0,70221
2014,1,Córdoba,566705,205.0,566910
2014,1,Corrientes,62203,33.0,62236
2014,1,Entre Ríos,134216,115.0,134331
2014,1,Formosa,25335,87.0,25422
2014,1,Jujuy,33825,2.0,33827
2014,1,La Pampa,53601,592.0,54193
2014,1,La Rioja,15688,23.0,15711
2014,1,Mendoza,164084,1761.0,165845
2014,1,Misiones,73950,0.0,73950
2014,1,Neuquén,88077,2303.0,90380
2014,1,Río Negro,93909,1157.0,95066
2014,1,Salta,91265,25.0,91290
2014,1,San Juan,50543,755.0,51298
2014,1,San Luis,12193,364.0,12557
2014,1,Santa Cruz,26304,460.0,26764
2014,1,Santa Fe,506000,612.0,506612
2014,1,Santiago Del Estero,37124,9.0,37133
2014,1,Tierra Del Fuego,27272,766.0,28038
2014,1,Tucumán,129944,88.0,130032
